timestamp;uuid;message
2022-03-11 14:05:00;9dd8e257-985d-4889-98b4-9dbb4fe04c4d;My go-to spot for a quick meal.
2022-03-02 06:33:00;d2617ff9-2c49-4f74-b557-d55276a6f789;Not worth the hype.
2022-02-12 07:05:00;94cdc36e-3077-460b-a3a8-8a972d307453;Freshly made and delicious.
2022-01-27 22:31:00;bf145b68-91c7-4921-81b0-fbb6228877cb;Too greasy for my liking.
2022-01-25 09:42:00;47f30a0c-680b-4df9-93ff-fc26ffd8f1cd;Simple but delicious.
2022-03-09 02:30:00;bf8ab913-d60c-4991-8498-9548cc7bc562;I expected more from the signature sandwich.
2022-01-31 19:59:00;601d5b4e-f6a1-4086-814e-6e1f45c94fab;Crispy, cheesy goodness.
2022-01-21 22:36:00;ca0d70f2-cbce-4a61-aeba-f49d7b3980e3;A pleasant surprise.
2022-03-01 20:16:00;ed339dda-7e15-48d9-bff6-a2b2c8bb8ec6;Good value for money.
2022-02-14 05:25:00;764d87c6-e49d-4556-9d9e-e394a6071fdc;Sandwich was perfectly toasted.
2022-01-16 04:03:00;b935c663-2ba5-47a9-918d-fb6cffd6c048;Way too salty for my taste, won't return.
2022-01-10 09:55:00;9ad56e24-2470-4994-978e-2d4cc29347c6;Freshly made and delicious.
2022-03-08 12:11:00;0dacb552-2c19-4532-baf5-67d452c2e2d4;Chicken sandwich was moist and flavorful.
2022-03-07 08:39:00;86e6fe4a-345e-4512-809b-19374c7b6445;I can't get enough of their chicken club!
2022-02-20 06:29:00;9d3c976e-f0e1-470b-930e-e67437bb755b;The staff was very friendly.
2022-03-01 14:32:00;42b923e7-bcb6-4fd3-989e-03a8d0667bff;Not impressed, bread was stale.
2022-02-02 19:30:00;7d7cfb52-d02f-4628-8d5e-fbf3b0608104;Fresh and delicious ingredients, best sandwich in town.
2022-01-07 16:56:00;c44053f0-8f41-4578-9605-f83a0e54d402;Simple but delicious.
2022-01-06 12:18:00;72ab34aa-6d02-425f-a4be-7e94a5715097;Amazing sandwich, loved every bite!
2022-01-18 11:07:00;42b7934f-6fcb-49f7-a099-7dbf84fa4d1d;Their sauces elevate the experience.
2022-02-18 04:23:00;509a9149-41bc-4b15-858f-dad75c0bfa74;My go-to spot for a quick meal.
2022-02-17 16:26:00;67bb5d11-315b-463d-a68d-8489688753fa;Their sauces elevate the experience.
2022-01-12 08:30:00;60c5f370-4cb5-4bc5-b1e1-65a8e4c38074;Simple but delicious.
2022-02-25 19:41:00;0e69146f-0b11-40ca-9408-6d9d92804c92;Unique flavors but execution needs work.
2022-03-05 11:10:00;8a5af2e8-ac62-4397-a809-0383833e32ea;Way too salty for my taste, won't return.
2022-02-05 22:39:00;4b194093-888f-4e7d-9fd6-feea9fe1043f;Great portion sizes for the price.
2022-02-19 08:31:00;c0442bd0-befa-464b-a2d4-2f1d6112607d;Delicious crispy bread with fresh fillings.
2022-02-28 12:06:00;9aa89f23-15f6-44c5-9a04-07ee0d6e6b6b;Terrible customer service, sandwich was cold.
2022-02-27 04:30:00;a1b41064-7f98-417e-a3d2-27b081b0b599;Freshly made and delicious.
2022-01-16 23:17:00;6cdebd96-2654-4569-97bb-429a81b9e5f3;Messy but delicious.
2022-01-17 11:47:00;27a5ed17-2cd4-4f58-997f-a29ea9614238;Terrible customer service, sandwich was cold.
2022-01-13 15:57:00;310e0961-077d-4fb1-abbd-2bde48cfc59a;A pleasant surprise.
2022-03-06 07:47:00;64eb6eeb-3e41-441d-a63c-8449830c6cbc;Freshly made and delicious.
2022-02-28 18:51:00;340671eb-9d86-4875-9a03-9265e2ff1903;Nice variety on the menu.
2022-02-14 10:52:00;6029c772-1d93-4daf-a7f8-0c82d0bc961a;They forgot my extra toppings.
